run_id,config,t0_s,t1_s,n_points,k2_v2_term_ms2_per_ms2,k1_v_term_ms2_per_ms,c_const_ms2,r2,CdA_m2,Cd,Cr,Fd_10ms_N,Fd_15ms_N,Fd_20ms_N
18,no_rear,1957.83,1966.83,734,0.0011520911125675669,0.0,0.19271931793070707,0.6692014584761448,0.5266702228880306,0.43889185240669215,0.019651901304798998,32.25855115189187,72.58174009175671,129.0342046075675
19,no_rear,1984.7200000000005,1997.0,1008,0.0011435364918469314,0.0,0.21607474473232427,0.5121068364179798,0.5227595391300257,0.43563294927502144,0.022033492041861828,32.01902177171408,72.04279898635667,128.07608708685632
20,no_rear,2010.42,2018.73,649,0.0010801007744946555,0.0,0.20080888185099402,0.647969786546795,0.4937603540546997,0.4114669617122498,0.020476807253342787,30.24282168585036,68.0463487931633,120.97128674340144
21,no_rear,2034.74,2046.51,972,0.0010870040344121746,0.0,0.2278610941539096,0.5128697325717626,0.4969161300169941,0.41409677501416176,0.023235365201563184,30.43611296354089,68.48125416796701,121.74445185416356
22,no_rear,2058.05,2067.26,769,0.0011569854818356611,0.0,0.18397186377435423,0.6127542590697567,0.5289076488391593,0.4407563740326328,0.01875990922224758,32.395593491398515,72.89008535564665,129.58237396559406
23,no_rear,2084.12,2096.4100000000003,1069,0.0011100122219691434,0.0,0.22092457332158155,0.4358229736564663,0.5074341586144655,0.42286179884538794,0.02252803692612478,31.080342215136014,69.93076998405603,124.32136886054406
24,no_rear,2108.6400000000003,2119.4,842,0.0011731982985367468,0.0,0.18700670738698374,0.6714440298923638,0.536319222188227,0.44693268515685586,0.019069377145812662,32.84955235902891,73.91149280781505,131.39820943611565
25,no_front_rear,2400.9000000000005,2415.7900000000004,1010,0.000962391674774408,0.0,0.23542878319988061,0.5045683635962627,0.43995047989687214,0.3666253999140601,0.024007054723058398,26.94696689368342,60.6306755107877,107.78786757473368
26,no_front_rear,2430.28,2439.51,788,0.0010460889487979796,0.0,0.19217127242255863,0.48145596372414723,0.4782120908790764,0.3985100757325637,0.019596016215788128,29.29049056634343,65.90360377427272,117.16196226537372
27,no_front_rear,2453.7300000000005,2466.76,996,0.0009842814910184287,0.0,0.2205046985362864,0.5685017214297132,0.4499572530369959,0.37496437753082995,0.02248522161352617,27.559881748516002,62.009733934161005,110.23952699406401
28,no_front_rear,2477.1100000000006,2487.1800000000003,791,0.0010655921371664104,0.0,0.1912890793073956,0.4848571472773783,0.4871278341332161,0.4059398617776801,0.019506057553537202,29.83657984065949,67.13230464148386,119.34631936263796
29,no_front_rear,2502.0000000000005,2514.74,1051,0.0011146661018362042,0.0,0.20556136287551988,0.5506592207903107,0.5095616465536933,0.4246347054614111,0.020961425448600683,31.210650851413718,70.22396441568087,124.84260340565487
30,no_front_rear,2524.4700000000003,2534.4500000000003,830,0.0012966848175578834,0.0,0.15708113977735105,0.6241373916841173,0.5927702023121753,0.4939751685934794,0.0160178184984017,36.30717489162073,81.69114350614666,145.22869956648293
31,no_front_rear,2548.1600000000003,2559.3400000000006,958,0.0009425255329990349,0.0,0.23273988281105784,0.32439459117163694,0.4308688150852731,0.35905734590439425,0.023732863190901874,26.39071492397298,59.3791085789392,105.56285969589192
32,no_front_rear,2570.5000000000005,2579.9200000000005,723,0.0009330659039689595,0.0,0.1881125850887362,0.5361656989501036,0.42654441324295295,0.3554536777024608,0.01918214528801744,26.125845311130867,58.783151950044456,104.50338124452347
33,no_front_rear,2591.4200000000005,2603.99,1088,0.0010487067393840158,0.0,0.20966796869136775,0.39168585134479306,0.4794087951469786,0.39950732928914884,0.021380182701673637,29.36378870275244,66.06852458119299,117.45515481100976
34,no_front_rear,2613.0200000000004,2624.9200000000005,872,0.0008790815556535206,0.0,0.200163360036359,0.4055619547024689,0.4018658540130379,0.33488821167753163,0.02041098234732136,24.614283558298574,55.38213800617179,98.4571342331943
35,no_front_rear,2637.4100000000003,2650.3700000000003,1044,0.0010320560033020081,0.0,0.22960885444164575,0.45454560052177473,0.47179703008091795,0.3931641917340983,0.023413587151743537,28.897568092456225,65.01952820802651,115.5902723698249
36,no_front_rear,2657.9600000000005,2669.49,856,0.0012506467581414773,0.0,0.15343631233274516,0.5791346058090274,0.5717242322932468,0.4764368602443723,0.015646149534524548,35.01810922796137,78.79074576291308,140.07243691184547
37,no_front,3118.2200000000007,3130.9500000000007,871,0.001334719189174375,0.0,0.2595840864526859,0.568863329822147,0.6101573436225715,0.5084644530188096,0.026470210158686797,37.37213729688251,84.08730891798564,149.48854918753003
38,no_front,3142.2200000000007,3152.8200000000006,701,0.001390550599801671,0.0,0.19489361201071884,0.7806672885460504,0.6356802741950496,0.529733561829208,0.019873617597315988,38.935416794446795,87.60468778750528,155.74166717778718
39,no_front,3164.350000000001,3177.9300000000007,878,0.0013548932059771449,0.0,0.22668662918468033,0.6045029414383343,0.6193797513038376,0.5161497927531981,0.023115603104493416,37.93700976736006,85.35827197656013,151.74803906944024
40,no_front,3189.1100000000006,3199.420000000001,743,0.00136602574636238,0.0,0.1824414595792904,0.705532045321942,0.6244689126228022,0.5203907605190019,0.01860385142523598,38.24872089814664,86.05962202082993,152.99488359258655
41,no_front,3209.7800000000007,3222.5900000000006,991,0.001301578157633056,0.0,0.24347414526899422,0.43020220157577727,0.5950071577751113,0.4958392981459261,0.024827453337173677,36.44418841372557,81.99942393088253,145.77675365490228
42,no_front,3232.4100000000008,3243.690000000001,754,0.0012982672280302272,0.0,0.19460264302778552,0.6503460989285001,0.5934935899566752,0.4945779916305627,0.01984394701837891,36.35148238484636,81.79083536590431,145.40592953938545
43,no_front,3256.1600000000008,3269.2400000000007,911,0.001248731039272195,0.0,0.23257324990293252,0.5793055544401218,0.5708484750958606,0.4757070625798838,0.02371587136309877,34.96446909962147,78.6700554741483,139.85787639848587
44,no_front,3278.440000000001,3289.460000000001,786,0.0011688360974476707,0.0,0.19039180044833276,0.602304494768088,0.5343250731189351,0.44527089426577926,0.01941456057352233,32.72741072853477,73.63667413920324,130.90964291413908
45,no_front,3299.6800000000007,3313.9000000000005,1002,0.0013741111743998161,0.0,0.24367414596504072,0.4610990283757669,0.6281651082970587,0.5234709235808823,0.024847847732410226,38.47511288319485,86.56900398718841,153.9004515327794
46,no_front,3324.270000000001,3334.310000000001,736,0.0015058041146068662,0.0,0.15906121671360027,0.7554738146870157,0.688367595248853,0.5736396627073775,0.016219730153885403,42.162515208992254,94.86565922023257,168.65006083596901
