run_id,start_idx,end_idx,t0_s,t1_s,duration_s,v_start_ms,v_end_ms,source_basename,row_count
22,205805,206727,2058.05,2067.26,9.210000000000036,18.789389320756225,5.813690002990124,Aero_Validation_Signals_cleaned_10ms.csv,405656
23,208412,209642,2084.12,2096.4100000000003,12.290000000000418,18.815355695319507,5.205153189356994,Aero_Validation_Signals_cleaned_10ms.csv,405656
24,210864,211941,2108.6400000000003,2119.4,10.759999999999764,18.729114284591073,4.183893369641055,Aero_Validation_Signals_cleaned_10ms.csv,405656
25,240090,241580,2400.9000000000005,2415.7900000000004,14.889999999999873,18.735236375716802,3.4566265405155883,Aero_Validation_Signals_cleaned_10ms.csv,405656
26,243028,243952,2430.28,2439.51,9.230000000000018,18.647899558276794,5.5776663551564685,Aero_Validation_Signals_cleaned_10ms.csv,405656
27,245373,246677,2453.7300000000005,2466.76,13.029999999999745,18.684375769743948,4.807859236920606,Aero_Validation_Signals_cleaned_10ms.csv,405656
28,247711,248719,2477.1100000000006,2487.1800000000003,10.069999999999709,18.776965067686074,5.142716080423858,Aero_Validation_Signals_cleaned_10ms.csv,405656
29,250200,251475,2502.0000000000005,2514.74,12.739999999999327,18.73575687913702,5.085212888654464,Aero_Validation_Signals_cleaned_10ms.csv,405656
30,252447,253446,2524.4700000000003,2534.4500000000003,9.980000000000018,18.70289827491964,5.195685967559731,Aero_Validation_Signals_cleaned_10ms.csv,405656
31,254816,255935,2548.1600000000003,2559.3400000000006,11.180000000000291,18.835292473606053,6.279483547226156,Aero_Validation_Signals_cleaned_10ms.csv,405656
32,257050,257993,2570.5000000000005,2579.9200000000005,9.420000000000073,18.58608081837388,5.8087764761363525,Aero_Validation_Signals_cleaned_10ms.csv,405656
33,259142,260400,2591.4200000000005,2603.99,12.569999999999254,18.719906458198324,5.491058211899331,Aero_Validation_Signals_cleaned_10ms.csv,405656
34,261302,262493,2613.0200000000004,2624.9200000000005,11.900000000000091,18.693979164476772,3.548450529502009,Aero_Validation_Signals_cleaned_10ms.csv,405656
35,263741,265038,2637.4100000000003,2650.3700000000003,12.960000000000036,18.553096687824084,5.013919721638708,Aero_Validation_Signals_cleaned_10ms.csv,405656
36,265796,266950,2657.9600000000005,2669.49,11.52999999999929,18.763392410553323,4.513660316716016,Aero_Validation_Signals_cleaned_10ms.csv,405656
37,311820,313094,3118.2000000000007,3130.9300000000007,12.730000000000018,18.768134686365336,3.3150192787156336,Aero_Validation_Signals_cleaned_10ms.csv,405656
38,314220,315281,3142.2000000000007,3152.8000000000006,10.599999999999909,18.690076385996328,3.4431044471677543,Aero_Validation_Signals_cleaned_10ms.csv,405656
39,316433,317792,3164.330000000001,3177.9100000000008,13.579999999999927,18.77596105171163,3.2695148190672327,Aero_Validation_Signals_cleaned_10ms.csv,405656
40,318909,319941,3189.0900000000006,3199.4000000000005,10.309999999999945,18.469461849746487,4.117629588051052,Aero_Validation_Signals_cleaned_10ms.csv,405656
41,320976,322258,3209.7600000000007,3222.5700000000006,12.809999999999945,18.696766828384302,3.778932338550366,Aero_Validation_Signals_cleaned_10ms.csv,405656
42,323239,324368,3232.390000000001,3243.670000000001,11.2800000000002,18.580150204399196,3.298836211917668,Aero_Validation_Signals_cleaned_10ms.csv,405656
43,325614,326923,3256.140000000001,3269.2200000000007,13.079999999999927,18.619974403263864,3.72711728712874,Aero_Validation_Signals_cleaned_10ms.csv,405656
44,327842,328945,3278.420000000001,3289.440000000001,11.019999999999982,18.77631727350871,3.6277825297179658,Aero_Validation_Signals_cleaned_10ms.csv,405656
45,329966,331389,3299.6600000000008,3313.880000000001,14.220000000000255,18.711727976892867,3.2078983086733093,Aero_Validation_Signals_cleaned_10ms.csv,405656
46,332425,333430,3324.250000000001,3334.290000000001,10.039999999999964,18.633914688436775,4.406397733888121,Aero_Validation_Signals_cleaned_10ms.csv,405656
