run_id,config,t0_s,t1_s,n_points,k2_v2_term_ms2_per_ms2,k1_v_term_ms2_per_ms,c_const_ms2,r2,CdA_m2,Cd,Cr,Fd_10ms_N,Fd_15ms_N,Fd_20ms_N
34,no_front_rear,2613.0200000000004,2624.9200000000005,835,-0.0010181294981669333,0.04135972228949796,-0.0028233645572462926,0.42143052990248153,-0.46543062773345517,-0.387858856444546,-0.00028790306141712946,-28.507625948674132,-64.14215838451679,-114.03050379469653
35,no_front_rear,2637.4100000000003,2650.3700000000003,1062,-0.003026915706643715,0.08879001983435535,-0.18910401048454883,0.44436639498902963,-1.3837328944656984,-1.153110745388082,-0.01928324254302426,-84.75363978602402,-190.69568951855405,-339.0145591440961
36,no_front_rear,2657.9600000000005,2669.49,824,-0.0024101295522632182,0.07069591928599432,-0.15808088095331174,0.3911469137874679,-1.1017735096060426,-0.9181445913383689,-0.016119763726992576,-67.48362746337011,-151.83816179258275,-269.93450985348045
37,no_front,3118.2200000000007,3130.9500000000007,895,-0.0008414694619133568,0.04837421612736995,0.025354637641733107,0.5471614466099847,-0.3846717540175345,-0.3205597950146121,0.0025854535077455714,-23.561144933573992,-53.01257610054148,-94.24457973429597
38,no_front,3142.2200000000007,3152.8200000000006,675,-0.0005615553457244261,0.042568709699981534,-0.020025168600327964,0.782860688884866,-0.2567110151883091,-0.21392584599025757,-0.002041998908937095,-15.723549680283933,-35.37798678063885,-62.89419872113573
39,no_front,3164.350000000001,3177.9300000000007,888,-0.0013985145445151647,0.05917963431726855,-0.04049849263831785,0.5593020854266898,-0.6393209346355039,-0.5327674455295865,-0.004129696954445998,-39.158407246424616,-88.10641630445538,-156.63362898569846
40,no_front,3189.1100000000006,3199.420000000001,742,-0.0005580071600971711,0.03675391446886827,0.02158503557601822,0.6337094108570944,-0.25508898747299247,-0.21257415622749373,0.0022010610734571156,-15.62420048272079,-35.15445108612178,-62.49680193088316
41,no_front,3209.7800000000007,3222.5900000000006,978,-0.0006905953172559688,0.0452258007906344,0.032592832510223865,0.43966932389416225,-0.3157007164598714,-0.2630839303832262,0.0033235439737549386,-19.336668883167125,-43.507504987126026,-77.3466755326685
42,no_front,3232.4100000000008,3243.690000000001,771,-0.0009848206350506839,0.04594842262350815,-0.018161873528101127,0.5806533163711587,-0.4502037188803126,-0.37516976573359384,-0.0018519956894659368,-27.574977781419147,-62.04370000819308,-110.29991112567659
43,no_front,3256.1600000000008,3269.2400000000007,914,-0.0007498967197210473,0.04539902942116606,0.017659683647509267,0.5909197379806158,-0.3428099290153359,-0.2856749408461133,0.0018007865731426399,-20.997108152189327,-47.243493342425985,-83.98843260875731
44,no_front,3278.440000000001,3289.460000000001,801,-0.00046223865656303155,0.0361407443182039,0.012341300077292585,0.5838524915101575,-0.21130910014310011,-0.17609091678591676,0.0012584623778041008,-12.942682383764884,-29.121035363470988,-51.77072953505954
45,no_front,3299.6800000000007,3313.9000000000005,972,-0.0008109067661135963,0.04801300075014404,0.01766304704776557,0.4643929885421816,-0.370700235937644,-0.30891686328137,0.0018011295445198483,-22.705389451180697,-51.08712626515657,-90.82155780472279
46,no_front,3324.270000000001,3334.310000000001,751,-0.0016662409079765776,0.06300714108909211,-0.1313962768427362,0.696258582496636,-0.7617101293607211,-0.6347584411339343,-0.013398691382147441,-46.654745423344174,-104.9731772025244,-186.6189816933767
